LEFT; 5; 2 8 0 0 2|16 2 0 8 2|8 2 2 2 4|4 16 0 0 2|2 2 0 2 4

LEFT; 8; 2 8 0 4 4 2 2 0|0 0 0 32 2 8 0 16|32 2 32 4 4 0 8 8|0 8 0 0 0 8 0 2|0 2 8 4 2 16 0 0|2 2 2 0 4 8 0 4|4 0 4 0 2 2 64 2|0 4 2 0 0 4 8 8

UP; 8; 2 4 0 2 8 8 2 8|0 16 4 0 16 4 0 2|8 2 4 16 0 2 16 16|0 0 64 0 0 2 2 16|2 4 16 0 32 32 128 2|0 8 2 0 0 4 0 0|0 2 2 2 2 2 0 0|0 0 0 0 2 8 8 2

LEFT; 4; 4 2 16 0|0 0 0 4|4 2 2 4|4 0 0 16

DOWN; 6; 2 0 2 16 8 0|2 0 2 0 0 4|0 2 0 2 0 2|4 2 0 4 4 8|4 2 0 0 2 2|64 2 2 4 0 4

RIGHT; 6; 8 32 4 0 2 2|0 4 2 0 2 4|0 2 0 4 0 2|4 4 0 0 4 2|8 2 4 4 0 2|2 2 16 0 0 0

DOWN; 8; 2 2 0 4 0 0 16 4|16 2 0 0 2 2 16 32|0 2 0 0 2 2 0 0|2 0 2 0 0 2 2 4|8 0 4 0 0 0 2 4|8 8 8 0 0 0 0 2|2 2 2 0 8 4 0 0|0 0 0 0 0 0 0 2

LEFT; 7; 4 0 2 4 8 2 8|8 8 2 0 8 32 2|8 0 0 4 0 8 0|2 4 4 0 2 2 2|8 2 16 0 2 8 0|0 0 4 8 0 4 4|2 2 8 0 2 0 64

UP; 7; 0 2 0 2 2 0 0|2 0 0 0 2 4 8|4 0 0 0 0 2 4|2 0 0 2 0 0 4|2 2 4 4 4 0 8|0 4 2 4 0 0 4|0 4 0 2 0 4 2

UP; 4; 4 0 0 0|0 2 4 0|2 4 2 0|0 0 0 4

UP; 10; 0 4 0 0 0 2 0 2 0 4|0 8 2 4 0 2 0 2 0 0|0 8 2 8 0 2 0 0 2 2|4 2 64 0 16 2 0 2 0 2|0 2 0 0 8 0 2 8 2 8|0 0 2 0 4 0 4 4 2 8|4 0 0 2 0 4 0 0 2 0|0 8 0 4 2 0 2 4 2 2|16 0 0 2 0 0 2 4 8 2|4 0 8 8 0 0 4 2 0 0

LEFT; 7; 0 2 2 4 4 0 0|8 0 4 2 0 4 0|0 0 2 8 8 4 0|0 0 0 2 4 2 4|2 0 8 0 2 16 0|4 0 4 0 16 0 2|0 0 8 4 2 0 4

UP; 6; 8 32 2 2 8 2|2 0 2 2 8 2|2 8 8 2 2 0|2 4 0 0 2 0|2 2 0 2 2 0|2 4 2 32 2 8

UP; 4; 4 32 256 2|0 0 8 0|8 0 64 0|0 4 2 0

RIGHT; 9; 8 0 2 0 4 2 0 0 4|2 0 2 0 0 0 4 8 4|0 0 32 4 8 0 2 4 0|4 0 0 4 2 64 0 0 2|0 2 2 2 0 0 0 2 0|2 0 2 2 0 2 0 2 4|0 4 16 64 16 4 16 2 0|0 32 4 0 8 8 4 8 8|2 2 8 32 8 0 0 2 0

RIGHT; 9; 4 0 2 0 4 2 2 2 16|2 2 8 2 2 0 0 0 2|2 2 0 0 0 0 2 4 0|0 4 0 4 8 4 2 4 4|0 0 2 2 8 2 2 4 0|4 0 2 0 64 0 0 0 0|0 2 4 2 4 0 0 2 2|2 2 0 8 0 2 0 0 4|0 0 16 2 2 2 4 2 2

LEFT; 6; 2 4 2 0 0 2|4 2 0 0 2 0|0 0 0 2 4 4|0 32 2 0 16 2|8 8 0 8 0 0|4 0 4 0 0 0

RIGHT; 10; 32 0 4 4 2 4 16 0 4 2|2 0 0 0 4 2 0 16 8 1024|0 0 0 8 4 0 0 0 0 4|2 2 0 2 2 2 4 0 0 2|0 0 2 2 0 4 2 4 16 4|0 0 2 0 0 0 0 0 0 0|0 16 4 0 0 2 2 0 2 2|0 0 2 0 0 2 2 2 4 0|2 8 2 4 8 0 16 0 0 2|4 4 0 4 0 2 4 4 0 0

UP; 8; 2 4 512 0 2 0 2 0|2 2 0 16 32 0 2 0|0 0 0 0 0 2 0 4|0 2 0 0 0 0 4 2|8 0 16 2 0 2 2 4|2 2 8 4 2 2 2 2|4 2 0 4 2 2 0 8|2 2 0 8 2 0 0 0

UP; 7; 0 0 2 4 0 0 4|0 2 0 4 8 4 0|2 2 4 0 2 8 0|2 0 4 0 0 0 0|0 2 2 4 2 8 0|0 2 2 0 32 0 2|0 2 2 2 4 2 2

UP; 7; 0 0 64 2 0 0 4|0 32 2 2 0 4 2|2 8 0 0 2 2 0|0 0 2 0 0 32 64|8 0 4 16 8 2 0|2 0 2 0 2 128 0|0 8 0 2 0 16 2

DOWN; 4; 4 16 2 0|2 0 2 2|0 0 0 4|4 16 2 16

UP; 5; 0 0 0 0 0|0 2 2 2 2|2 2 0 4 8|2 0 0 0 2|4 2 0 0 0

UP; 6; 0 16 4 0 2 0|4 4 0 4 0 8|4 0 0 32 4 0|0 2 4 0 0 0|2 32 0 0 0 4|2 2 0 2 4 4

LEFT; 4; 2 2 0 0|2 4 8 2|2 2 0 4|4 4 4 0

